activation,mae,rmse,r2
relu,0.07560266439731304,0.13065126677190564,0.9827523435962772
gelu,0.06834401769770516,0.13378973405333605,0.9819137544450661
leaky_relu,0.082802251387292,0.1427630585476878,0.9794062930037807
tanh,0.07511342335969974,0.1508882372344359,0.9769954569135653
swish,0.08758036961030756,0.15436726432914027,0.9759223965508456
sigmoid,0.13502093226226985,0.21262862570935773,0.9543178740960312
softmax,0.3490075325736633,0.5082692732880622,0.7389699216880624
