activation,mae,rmse,r2
gelu,0.2347316680723452,0.32152863418090316,0.8828336788460183
tanh,0.23727634565584593,0.32203107924393615,0.8824672067471797
swish,0.24570897801459068,0.3284131688617374,0.8777624577491246
leaky_relu,0.24413913341850274,0.33057246302981175,0.8761497664605488
relu,0.24799546448193724,0.33198288508788004,0.8750906718990159
sigmoid,0.2609979867251241,0.34147572990880803,0.8678451315887289
softmax,0.4075258631273755,0.5251591947849219,0.6874313405820449
